,OBJECTID,ID,OSM_ID,OSM_NAME,OSM_META,OSM_SOURCE,OSM_TARGET,CLAZZ,FLAGS,SOURCE,TARGET,KM,KMH,COST,REVERSE_CO,X1,Y1,X2,Y2,Shape_Leng,oneway,geometry
42,112328,2476434.0,523564092.0,East 6th Street,,5096853076.0,82446431.0,21.0,1.0,1910171.0,1899875.0,0.0235883,60.0,0.0003931,1000000.0,-97.3293151,32.7537656,-97.3295338,32.7536599,23.607597515,,"LINESTRING (709693.1018263826 2121158.840628512, 709680.8687037819 2121151.662519619, 709672.7412227809 2121146.8922194317)"
43,113860,2462853.0,505369908.0,East 5th Street,,82566090.0,82566091.0,21.0,1.0,161861.0,1963104.0,0.0816114,60.0,0.0013602,1000000.0,-97.3299471,32.7542786,-97.3291888,32.7546419,81.6789836632,,"LINESTRING (709633.2527603421 2121215.0626232084, 709641.3062353168 2121219.7433516104, 709703.8526245457 2121256.1371333264)"
44,115442,2452071.0,491441519.0,Jones Street,,82529601.0,82446435.0,31.0,3.0,181253.0,150533.0,0.0791695,40.0,0.0019792,1000000.0,-97.327609,32.7537692,-97.3280509,32.7543765,79.0533316403,,"LINESTRING (709852.9511197814 2121161.022530509, 709810.7958878793 2121227.8982784804)"
45,119220,2278403.0,331961737.0,Commerce Street,,82463014.0,82679259.0,15.0,1.0,1775723.0,178964.0,0.0745956,70.0,0.0010657,1000000.0,-97.3325984,32.7581595,-97.3331671,32.7584169,74.5846268445,,"LINESTRING (709380.0574062192 2121642.6154182814, 709372.2224941422 2121660.4488730673, 709358.7676228483 2121673.030036673, 709352.5612776217 2121677.541016303, 709346.0032114411 2121679.9743687995, 709337.9746620104 2121678.133049095, 709326.4584210445 2121670.5641180743)"
46,119306,2462855.0,505369908.0,East 5th Street,,82529599.0,82566093.0,21.0,1.0,1944590.0,184777.0,0.0734721,60.0,0.0012245,1000000.0,-97.3284503,32.7550109,-97.3277615,32.7553258,73.5377659012,,"LINESTRING (709772.5897096432 2121297.8234804682, 709786.8675263444 2121306.488317948, 709797.0033960895 2121312.645118378, 709822.5098865746 2121327.7784254234, 709836.7365753775 2121333.459708091)"
47,121098,2462857.0,505371295.0,Commerce Street,,82478614.0,82666064.0,21.0,1.0,1899879.0,1524868.0,0.0843905,60.0,0.0014065,1000000.0,-97.3316685,32.7568282,-97.3321153,32.7574876,84.2556800812,,"LINESTRING (709468.8222344727 2121495.9686519764, 709426.1477002685 2121568.6178347412)"
48,123508,2462854.0,505369908.0,East 5th Street,,82566091.0,82529599.0,21.0,1.0,1963104.0,1944590.0,0.0803298,60.0,0.0013388,1000000.0,-97.3291888,32.7546419,-97.3284503,32.7550109,80.3899149512,,"LINESTRING (709703.8526245457 2121256.1371333264, 709738.0676330416 2121276.889818758, 709772.5897096432 2121297.8234804682)"
49,124425,2558529.0,601934774.0,Calhoun Street,,82446433.0,82726884.0,31.0,3.0,1963105.0,1963092.0,0.0795899,40.0,0.0019897,1000000.0,-97.3287736,32.7540302,-97.3283552,32.7534069,79.4609481059,,"LINESTRING (709743.5107876796 2121188.7451596446, 709779.1079277669 2121127.5957578607, 709783.4836571922 2121120.0704785343)"
50,127101,2558502.0,601934716.0,East 6th Street,,82446433.0,5096853077.0,21.0,1.0,1963105.0,1910170.0,0.0526212,60.0,0.000877,1000000.0,-97.3287736,32.7540302,-97.3292601,32.7537924,52.6628029302,,"LINESTRING (709743.5107876796 2121188.7451596446, 709698.2219571992 2121161.8696569297)"
51,128529,2462851.0,505369906.0,North Houston Street,,2405327479.0,82478336.0,15.0,3.0,1899876.0,171540.0,0.0781441,70.0,0.0011163,1000000.0,-97.3341035,32.7573438,-97.3336898,32.7567332,78.0186490512,,"LINESTRING (709240.0471566058 2121550.604025135, 709247.6305151104 2121537.6913822573, 709259.7983724317 2121516.967229657, 709279.5590903374 2121483.330578549)"
52,128676,2353604.0,419088132.0,Commerce Street,,4192461451.0,82463014.0,21.0,1.0,1830164.0,1775723.0,0.0298115,60.0,0.0004969,1000000.0,-97.3324334,32.7579301,-97.3325984,32.7581595,29.7671127993,,"LINESTRING (709395.799098803 2121617.3512120005, 709380.0574062192 2121642.6154182814)"
53,130924,2462845.0,505369904.0,Commerce Street,,82679272.0,82446431.0,31.0,3.0,1963091.0,1899875.0,0.0794801,40.0,0.001987,0.001987,-97.3291043,32.7530431,-97.3295338,32.7536599,79.3572650403,B,"LINESTRING (709713.7457532889 2121078.9495683815, 709708.9434840659 2121086.913701292, 709676.8654700012 2121140.0627257433, 709672.7412227809 2121146.8922194317)"
54,134675,2560456.0,603518004.0,Commerce Street,,82566090.0,82496903.0,31.0,3.0,161861.0,1574079.0,0.0795506,40.0,0.0019888,0.0019888,-97.3299471,32.7542786,-97.3303738,32.7548975,79.4253825261,B,"LINESTRING (709633.2527603421 2121215.0626232084, 709628.4210302193 2121223.1595396344, 709595.6697492106 2121277.9425607454, 709592.5090862478 2121283.24138546)"
55,137280,2462856.0,505371295.0,Commerce Street,,82672117.0,82478614.0,21.0,1.0,173974.0,1899879.0,0.0790977,60.0,0.0013183,1000000.0,-97.3312532,32.7562085,-97.3316685,32.7568282,78.9698344334,,"LINESTRING (709508.4970871552 2121427.6887807474, 709468.8222344727 2121495.9686519764)"
56,137549,2462852.0,505369907.0,Throckmorton Street,,82478337.0,2405327470.0,21.0,3.0,1899877.0,1899878.0,0.0740246,60.0,0.0012337,1000000.0,-97.3345374,32.7563436,-97.334915,32.7569287,73.9000831733,,"LINESTRING (709200.6247329016 2121439.2501175664, 709164.526816015 2121503.7339348346)"
57,144172,2462802.0,505332678.0,West Belknap Street,,82431906.0,6138269455.0,21.0,1.0,146658.0,178444.0,0.0861796,48.0,0.0017954,1000000.0,-97.335697,32.7566769,-97.336499,32.7562951,86.2516342064,,"LINESTRING (709091.5690042884 2121475.001867039, 709021.6263201109 2121434.582218876, 709016.8965684132 2121431.8351019006)"
58,144659,2558986.0,602276503.0,Calhoun Street,,82566197.0,82543715.0,31.0,3.0,173973.0,1963102.0,0.0854139,40.0,0.0021353,1000000.0,-97.3305054,32.7565599,-97.3300415,32.7558982,85.2827024136,,"LINESTRING (709578.1268358894 2121467.431970302, 709622.4079144524 2121394.5462692883)"
59,145582,2560436.0,603517991.0,Houston Street,,82547756.0,82501205.0,21.0,7.0,1963775.0,1963774.0,0.0794494,60.0,0.0013242,1000000.0,-97.3323746,32.7547613,-97.3319513,32.7541418,79.323128047,,"LINESTRING (709405.2134898035 2121266.0540038254, 709409.3007638404 2121259.157452585, 709441.0444562861 2121205.571367575, 709445.6381032849 2121197.8043964338)"
60,146538,2540712.0,589744792.0,East Belknap Street,,82463016.0,82463015.0,15.0,1.0,185076.0,155447.0,0.0777805,70.0,0.0011112,1000000.0,-97.3310793,32.7588919,-97.331802,32.7585456,77.8446264636,,"LINESTRING (709521.4794770991 2121725.407049123, 709454.1966926664 2121686.2558960337)"
61,146804,2559400.0,602326296.0,Calhoun Street,,5721670735.0,82566197.0,31.0,3.0,1963409.0,173973.0,0.0093481,40.0,0.0002337,1000000.0,-97.3305552,32.7566328,-97.3305054,32.7565599,9.33377183396,,"LINESTRING (709573.3709651581 2121475.4632211532, 709578.1268358894 2121467.431970302)"
62,147329,2558653.0,602247668.0,West Belknap Street,,82579255.0,82530583.0,21.0,1.0,1775750.0,1963166.0,0.0977777,48.0,0.002037,1000000.0,-97.3341615,32.7574144,-97.3350648,32.7569715,97.8554735167,,"LINESTRING (709234.5261611538 2121558.3718880136, 709230.9595521688 2121556.369477572, 709150.4391062787 2121508.3239751775)"
63,147638,2521589.0,566641078.0,Jones Street,,82529598.0,82529593.0,31.0,3.0,159858.0,1892349.0,0.0850353,40.0,0.0021259,1000000.0,-97.3292921,32.7562542,-97.3297424,32.7569186,84.8999152936,,"LINESTRING (709692.1816739924 2121434.8019850515, 709673.861998386 2121465.9587577637, 709667.4720340527 2121476.832829954, 709649.1711272954 2121508.0009462684)"
64,148978,2453153.0,492430117.0,West 6th Street,,4844508864.0,4844508865.0,21.0,1.0,173963.0,1893866.0,0.0315502,60.0,0.0005258,1000000.0,-97.3327708,32.7520993,-97.3330635,32.7519582,31.5759135397,,"LINESTRING (709371.3714085581 2120970.4773604516, 709344.1200274217 2120954.52742183)"
65,149580,2558527.0,601934774.0,Calhoun Street,,82496904.0,82566091.0,31.0,3.0,1963103.0,1963104.0,0.0795624,40.0,0.0019891,1000000.0,-97.3296106,32.7552633,-97.3291888,32.7546419,79.4355193727,,"LINESTRING (709663.5646333835 2121324.597921418, 709703.8526245457 2121256.1371333264)"
66,150260,2452070.0,491441519.0,Jones Street,,82529602.0,82529601.0,31.0,3.0,1997309.0,181253.0,0.0791558,40.0,0.0019789,1000000.0,-97.3271912,32.7531501,-97.327609,32.7537692,79.028377702,,"LINESTRING (709892.8634489967 2121092.8133655675, 709888.6982112452 2121099.941727532, 709852.9511197814 2121161.022530509)"
67,151456,2560435.0,603517991.0,Houston Street,,82489543.0,82547756.0,21.0,7.0,154034.0,1963775.0,0.0846444,60.0,0.0014107,1000000.0,-97.3328256,32.7554213,-97.3323746,32.7547613,84.5099977854,,"LINESTRING (709362.1442165391 2121338.7656080816, 709365.8781113543 2121332.463941997, 709401.3648938788 2121272.5539901108, 709405.2134898035 2121266.0540038254)"
68,152391,2462844.0,505369904.0,Commerce Street,,82633827.0,82679272.0,31.0,3.0,168969.0,1963091.0,0.0787233,40.0,0.0019681,0.0019681,-97.3286875,32.752428,-97.3291043,32.7530431,78.5969337402,B,"LINESTRING (709753.5587896202 2121011.1823197696, 709749.8812403586 2121017.440112099, 709717.9487213694 2121071.7882860657, 709713.7457532889 2121078.9495683815)"
